epsilon_target,seed,epsilon_eff,accuracy,mia_auc,privacy
1.0,42,0.9931900579510842,0.8791666666666667,0.43518518518518523,0.448161863028951
1.0,43,0.9931900579510842,0.6,0.496114417989418,0.4237901699072578
1.0,44,0.9931900579510842,0.6208333333333333,0.42534722222222227,0.4520970482141361
1.0,45,0.9931900579510842,0.8791666666666667,0.48925264550264547,0.42653487890196684
1.0,46,0.9931900579510842,0.8833333333333333,0.5029348544973544,0.4210619953040833
1.0,47,0.9931900579510842,0.7666666666666667,0.44291501322751325,0.44506993181201976
1.0,48,0.9931900579510842,0.675,0.41980820105820105,0.45431265667974463
1.0,49,0.9931900579510842,0.7583333333333333,0.48553240740740744,0.4280229741400621
1.0,50,0.9931900579510842,0.5208333333333334,0.5332341269841271,0.40894228630937424
1.0,51,0.9931900579510842,0.6541666666666667,0.5424520502645502,0.40525511699720496
3.0,42,2.9913235806575185,0.9041666666666667,0.4448991402116401,0.252172896679756
3.0,43,2.9913235806575185,0.9416666666666667,0.5011574074074073,0.22966958980144914
3.0,44,2.9913235806575185,0.8958333333333334,0.4399801587301588,0.25414048927234856
3.0,45,2.9913235806575185,0.925,0.48284556878306883,0.23699432525118452
3.0,46,2.9913235806575185,0.9291666666666667,0.4955357142857143,0.23191826705012636
3.0,47,2.9913235806575185,0.9208333333333333,0.449198082010582,0.2504533199601793
3.0,48,2.9913235806575185,0.9416666666666667,0.4445684523809524,0.25230517181203116
3.0,49,2.9913235806575185,0.9666666666666667,0.48044808201058203,0.2379533199601792
3.0,50,2.9913235806575185,0.8083333333333333,0.529307208994709,0.2184096691665285
3.0,51,2.9913235806575185,0.8958333333333334,0.5208333333333333,0.22179921943107878
5.0,42,4.997710275455137,0.9375,0.4479166666666667,0.22488536896424374
5.0,43,4.997710275455137,0.9375,0.4952463624338624,0.20595349065736548
5.0,44,4.997710275455137,0.9333333333333333,0.44907407407407407,0.2244224060012808
5.0,45,4.997710275455137,0.95,0.4802414021164021,0.2119554747843496
5.0,46,4.997710275455137,0.9625,0.49202215608465616,0.20724317319704796
5.0,47,4.997710275455137,0.95,0.44940476190476186,0.22429013086900568
5.0,48,4.997710275455137,0.9583333333333334,0.4555224867724868,0.22184304092191573
5.0,49,4.997710275455137,0.9708333333333333,0.4769758597883598,0.21326169171556653
5.0,50,4.997710275455137,0.9333333333333333,0.5239748677248677,0.19446208854096336
5.0,51,4.997710275455137,0.9375,0.513434193121693,0.19867835838223322
10.0,42,9.99464698063865,0.95,0.4510168650793651,0.21962064013310859
10.0,43,9.99464698063865,0.9416666666666667,0.4961144179894179,0.20158161896908747
10.0,44,9.99464698063865,0.9458333333333333,0.46267361111111116,0.21495794172041016
10.0,45,9.99464698063865,0.9541666666666667,0.47730654761904756,0.2091047671172356
10.0,46,9.99464698063865,0.9583333333333334,0.4836722883597883,0.20655847082093928
10.0,47,9.99464698063865,0.9625,0.447296626984127,0.22110873537120385
10.0,48,9.99464698063865,0.9666666666666667,0.4636656746031746,0.21456111632358477
10.0,49,9.99464698063865,0.9666666666666667,0.4740823412698413,0.21039444965691811
10.0,50,9.99464698063865,0.9666666666666667,0.5209986772486772,0.19162791526538375
10.0,51,9.99464698063865,0.95,0.507977843915344,0.19683624859871704
