method,seed,accuracy,recall_parity,privacy,clarity,accountability,trust_index,mia_auc,epsilon_eff
standard,42,0.9625,0.861111111110253,0.21364087301587303,0.49093370681605975,0.3333333333333333,0.488107360704464,0.4658978174603175,inf
standard,43,0.9666666666666667,0.861111111110253,0.20724206349206353,0.5,0.3333333333333333,0.4883743045245372,0.4818948412698412,inf
standard,44,0.9583333333333334,0.861111111110253,0.20530753968253973,0.4634733893557423,0.3333333333333333,0.47863811271959245,0.48673115079365076,inf
standard,45,0.9625,0.8888888888880031,0.2097718253968254,0.4818767507002801,0.3333333333333333,0.49157848783219593,0.4755704365079365,inf
standard,46,0.9708333333333333,0.861111111110253,0.2084821428571429,0.4726890756302521,0.3333333333333333,0.48193409852433117,0.47879464285714285,inf
standard,47,0.9666666666666667,0.861111111110253,0.21673280423280425,0.49080298786181137,0.3333333333333333,0.48904091019586443,0.4581679894179894,inf
standard,48,0.9666666666666667,0.8333333333325028,0.2106150793650794,0.5,0.3333333333333333,0.4824839283309679,0.4734623015873015,inf
standard,49,0.975,0.8888888888880031,0.21023478835978837,0.48169934640522877,0.3333333333333333,0.491678812792866,0.47441302910052907,inf
standard,50,0.9708333333333333,0.8888888888880031,0.1988260582010582,0.5,0.3333333333333333,0.4926887453430338,0.5029348544973545,inf
standard,51,0.9583333333333334,0.8333333333325028,0.20752314814814815,0.4909607843137255,0.3333333333333333,0.47925789517943673,0.48119212962962965,inf
fairness_threshold,42,0.9666666666666667,0.8888888888880031,0.21364087301587303,0.49093370681605975,0.3333333333333333,0.4950518051489015,0.4658978174603175,inf
fairness_threshold,43,0.9625,0.8888888888880031,0.20724206349206353,0.5,0.3333333333333333,0.4953187489689747,0.4818948412698412,inf
fairness_threshold,44,0.9541666666666667,0.861111111110253,0.20530753968253973,0.4634733893557423,0.3333333333333333,0.47863811271959245,0.48673115079365076,inf
fairness_threshold,45,0.9625,0.8888888888880031,0.2097718253968254,0.4818767507002801,0.3333333333333333,0.49157848783219593,0.4755704365079365,inf
fairness_threshold,46,0.9708333333333333,0.861111111110253,0.2084821428571429,0.4726890756302521,0.3333333333333333,0.48193409852433117,0.47879464285714285,inf
fairness_threshold,47,0.9583333333333334,0.861111111110253,0.21673280423280425,0.49080298786181137,0.3333333333333333,0.48904091019586443,0.4581679894179894,inf
fairness_threshold,48,0.9583333333333334,0.8333333333325028,0.2106150793650794,0.5,0.3333333333333333,0.4824839283309679,0.4734623015873015,inf
fairness_threshold,49,0.9666666666666667,0.8888888888880031,0.21023478835978837,0.48169934640522877,0.3333333333333333,0.491678812792866,0.47441302910052907,inf
fairness_threshold,50,0.9625,0.8888888888880031,0.1988260582010582,0.5,0.3333333333333333,0.4926887453430338,0.5029348544973545,inf
fairness_threshold,51,0.9541666666666667,0.8888888888880031,0.20752314814814815,0.4909607843137255,0.3333333333333333,0.4931467840683118,0.48119212962962965,inf
dp_only,42,0.9041666666666667,0.9642857142847457,0.252172896679756,0.49091503267973857,0.3333333333333333,0.5259376093899156,0.4448991402116401,2.9913235806575185
dp_only,43,0.9416666666666667,0.9166666666657531,0.22966958980144914,0.4634967320261438,0.3333333333333333,0.500145983648084,0.5011574074074073,2.9913235806575185
dp_only,44,0.8958333333333334,0.9642857142847457,0.25414048927234856,0.4542390289449113,0.3333333333333333,0.5173834816025487,0.4399801587301588,2.9913235806575185
dp_only,45,0.925,0.9166666666657531,0.23699432525118452,0.49093370681605975,0.3333333333333333,0.5092942088903406,0.48284556878306883,2.9913235806575185
dp_only,46,0.9291666666666667,0.8888888888880031,0.23191826705012636,0.45427637721755365,0.3333333333333333,0.4915991626687444,0.4955357142857143,2.9913235806575185
dp_only,47,0.9208333333333333,0.9642857142847425,0.2504533199601793,0.4907843137254902,0.3333333333333333,0.5253675615234591,0.449198082010582,2.9913235806575185
dp_only,48,0.9416666666666667,0.9642857142847457,0.25230517181203116,0.5,0.3333333333333333,0.528250187229819,0.4445684523809524,2.9913235806575185
dp_only,49,0.9666666666666667,0.9722222222212532,0.2379533199601792,0.5,0.3333333333333333,0.525749357146526,0.48044808201058203,2.9913235806575185
dp_only,50,0.8083333333333333,0.9722222222212532,0.2184096691665285,0.46319327731092436,0.3333333333333333,0.5104402810206969,0.529307208994709,2.9913235806575185
dp_only,51,0.8958333333333334,0.9722222222212532,0.22179921943107878,0.47278244631185806,0.3333333333333333,0.5138968085230283,0.5208333333333333,2.9913235806575185
full,42,0.9041666666666667,0.9642857142847457,0.252172896679756,0.49091503267973857,1.0,0.6926042760565823,0.4448991402116401,2.9913235806575185
full,43,0.9416666666666667,0.9444444444435032,0.22971919297605226,0.46336134453781513,1.0,0.6737387488907952,0.5010333994708995,2.9913235806575185
full,44,0.8958333333333334,0.9642857142847457,0.25400821414007346,0.4542016806722689,1.0,0.6839994751912167,0.44031084656084657,2.9913235806575185
full,45,0.925,0.9166666666657531,0.23699432525118452,0.49093370681605975,1.0,0.6759608755570072,0.48284556878306883,2.9913235806575185
full,46,0.9291666666666667,0.8888888888880031,0.23191826705012636,0.45427637721755365,1.0,0.6582658293354111,0.4955357142857143,2.9913235806575185
full,47,0.9208333333333333,0.9642857142847425,0.2504863887432481,0.4907843137254902,1.0,0.6920445621925853,0.44911541005291,2.9913235806575185
full,48,0.9416666666666667,0.9642857142847457,0.2521894310712904,0.5,1.0,0.6948806848878775,0.44485780423280424,2.9913235806575185
full,49,0.9666666666666667,0.9722222222212532,0.23796985435171364,0.5,1.0,0.6924211908144224,0.480406746031746,2.9913235806575185
full,50,0.8083333333333333,0.9722222222212532,0.2183931347749941,0.46323062558356676,1.0,0.6771111177542943,0.5293485449735449,2.9913235806575185
full,51,0.8916666666666667,0.9722222222212532,0.22183228821414752,0.47278244631185806,1.0,0.6805738091921545,0.5207506613756614,2.9913235806575185
full,42,0.9041666666666667,0.9642857142847457,0.252172896679756,0.49091503267973857,1.0,0.6926042760565823,0.4448991402116401,2.9913235806575185
full,43,0.9416666666666667,0.9444444444435032,0.22971919297605226,0.46336134453781513,1.0,0.6737387488907952,0.5010333994708995,2.9913235806575185
full,44,0.8958333333333334,0.9642857142847457,0.25400821414007346,0.4542016806722689,1.0,0.6839994751912167,0.44031084656084657,2.9913235806575185
full,45,0.925,0.9166666666657531,0.23699432525118452,0.49093370681605975,1.0,0.6759608755570072,0.48284556878306883,2.9913235806575185
full,46,0.9291666666666667,0.8888888888880031,0.23191826705012636,0.45427637721755365,1.0,0.6582658293354111,0.4955357142857143,2.9913235806575185
full,47,0.9208333333333333,0.9642857142847425,0.2504863887432481,0.4907843137254902,1.0,0.6920445621925853,0.44911541005291,2.9913235806575185
full,48,0.9416666666666667,0.9642857142847457,0.2521894310712904,0.5,1.0,0.6948806848878775,0.44485780423280424,2.9913235806575185
full,49,0.9666666666666667,0.9722222222212532,0.23796985435171364,0.5,1.0,0.6924211908144224,0.480406746031746,2.9913235806575185
full,50,0.8083333333333333,0.9722222222212532,0.2183931347749941,0.46323062558356676,1.0,0.6771111177542943,0.5293485449735449,2.9913235806575185
full,51,0.8916666666666667,0.9722222222212532,0.22183228821414752,0.47278244631185806,1.0,0.6805738091921545,0.5207506613756614,2.9913235806575185
ablate_no_fairness,42,0.9041666666666667,0.9642857142847457,0.252172896679756,0.49091503267973857,1.0,0.6926042760565823,0.4448991402116401,2.9913235806575185
ablate_no_fairness,43,0.9416666666666667,0.9444444444435032,0.22975226175912106,0.4633986928104575,1.0,0.6737584199614153,0.5009507275132276,2.9913235806575185
ablate_no_fairness,44,0.8958333333333334,0.9642857142847457,0.25400821414007346,0.4541643323996265,1.0,0.6839901381230562,0.44031084656084657,2.9913235806575185
ablate_no_fairness,45,0.925,0.9166666666657531,0.23699432525118452,0.49093370681605975,1.0,0.6759608755570072,0.48284556878306883,2.9913235806575185
ablate_no_fairness,46,0.9291666666666667,0.8888888888880031,0.23190173265859193,0.45427637721755365,1.0,0.6582606623341813,0.49557705026455035,2.9913235806575185
ablate_no_fairness,47,0.9208333333333333,0.9642857142847425,0.2505029231347825,0.4907843137254902,1.0,0.692049729193815,0.449074074074074,2.9913235806575185
ablate_no_fairness,48,0.9416666666666667,0.9642857142847457,0.2521894310712904,0.5,1.0,0.6948806848878775,0.44485780423280424,2.9913235806575185
ablate_no_fairness,49,0.9666666666666667,0.9722222222212532,0.23796985435171364,0.5,1.0,0.6924211908144224,0.480406746031746,2.9913235806575185
ablate_no_fairness,50,0.8083333333333333,0.9722222222212532,0.2183931347749941,0.46323062558356676,1.0,0.6771111177542943,0.5293485449735449,2.9913235806575185
ablate_no_fairness,51,0.8916666666666667,0.9722222222212532,0.22183228821414752,0.47278244631185806,1.0,0.6805738091921545,0.5207506613756614,2.9913235806575185
ablate_no_dp,42,0.9625,0.861111111110253,0.21357473544973546,0.49093370681605975,1.0,0.6547533593662116,0.46606316137566134,inf
ablate_no_dp,43,0.9666666666666667,0.861111111110253,0.20710978835978838,0.5,1.0,0.6549996351813658,0.48222552910052907,inf
ablate_no_dp,44,0.9583333333333334,0.861111111110253,0.20555555555555555,0.4635107376283847,1.0,0.6453916214728659,0.4861111111111111,inf
ablate_no_dp,45,0.9625,0.8888888888880031,0.20958994708994708,0.4818113912231559,1.0,0.6581719776160544,0.4760251322751323,inf
ablate_no_dp,46,0.9708333333333333,0.861111111110253,0.2084821428571429,0.4726890756302521,1.0,0.6486007651909979,0.4787946428571428,inf
ablate_no_dp,47,0.9666666666666667,0.861111111110253,0.21671626984126988,0.49080298786181137,1.0,0.6557024098613013,0.4582093253968254,inf
ablate_no_dp,48,0.9666666666666667,0.8333333333325028,0.2105489417989418,0.5,1.0,0.6491299269927155,0.4736276455026456,inf
ablate_no_dp,49,0.975,0.8888888888880031,0.21036706349206355,0.48168067226890754,1.0,0.6583821469352904,0.4740823412698412,inf
ablate_no_dp,50,0.9708333333333333,0.8888888888880031,0.19892526455026457,0.5,1.0,0.659386414017079,0.5026868386243386,inf
ablate_no_dp,51,0.9583333333333334,0.8333333333325028,0.20755621693121695,0.4909607843137255,1.0,0.6459348958485629,0.4811094576719577,inf
ablate_no_clarity,42,0.9041666666666667,0.9642857142847457,0.252172896679756,0.49091503267973857,1.0,0.6926042760565823,0.4448991402116401,2.9913235806575185
ablate_no_clarity,43,0.9416666666666667,0.9166666666657531,0.22963652101838034,0.4634547152194211,1.0,0.6667918121106104,0.5012400793650793,2.9913235806575185
ablate_no_clarity,44,0.8958333333333334,0.9642857142847457,0.25414048927234856,0.45437564499484007,1.0,0.6840843022816975,0.4399801587301588,2.9913235806575185
ablate_no_clarity,45,0.925,0.9166666666657531,0.23699432525118452,0.49093370681605975,1.0,0.6759608755570072,0.48284556878306883,2.9913235806575185
ablate_no_clarity,46,0.9291666666666667,0.8888888888880031,0.23191826705012636,0.4542577030812325,1.0,0.6582611608013308,0.4955357142857143,2.9913235806575185
ablate_no_clarity,47,0.9208333333333333,0.9642857142847425,0.25047812154748084,0.4907843137254902,1.0,0.6920419786919704,0.449136078042328,2.9913235806575185
ablate_no_clarity,48,0.9416666666666667,0.9642857142847457,0.25230517181203116,0.5,1.0,0.6949168538964856,0.4445684523809524,2.9913235806575185
ablate_no_clarity,49,0.9666666666666667,0.9722222222212532,0.2379533199601792,0.5,1.0,0.6924160238131927,0.48044808201058203,2.9913235806575185
ablate_no_clarity,50,0.8083333333333333,0.9722222222212532,0.2184096691665285,0.46319327731092436,1.0,0.6771069476873636,0.529307208994709,2.9913235806575185
ablate_no_clarity,51,0.8958333333333334,0.9722222222212532,0.22178268503954435,0.47278244631185806,1.0,0.6805583081884652,0.5208746693121693,2.9913235806575185
ablate_no_accountability,42,0.9041666666666667,0.9642857142847457,0.252172896679756,0.49091503267973857,0.3333333333333333,0.5259376093899156,0.4448991402116401,2.9913235806575185
ablate_no_accountability,43,0.9416666666666667,0.9444444444435032,0.22971919297605226,0.46336134453781513,0.3333333333333333,0.5070720822241286,0.5010333994708995,2.9913235806575185
ablate_no_accountability,44,0.8958333333333334,0.9642857142847457,0.25400821414007346,0.4542016806722689,0.3333333333333333,0.5173328085245501,0.44031084656084657,2.9913235806575185
ablate_no_accountability,45,0.925,0.9166666666657531,0.23699432525118452,0.49093370681605975,0.3333333333333333,0.5092942088903406,0.48284556878306883,2.9913235806575185
ablate_no_accountability,46,0.9291666666666667,0.8888888888880031,0.23191826705012636,0.45427637721755365,0.3333333333333333,0.4915991626687444,0.4955357142857143,2.9913235806575185
ablate_no_accountability,47,0.9208333333333333,0.9642857142847425,0.2504863887432481,0.4907843137254902,0.3333333333333333,0.5253778955259186,0.44911541005291,2.9913235806575185
ablate_no_accountability,48,0.9416666666666667,0.9642857142847457,0.2521894310712904,0.5,0.3333333333333333,0.5282140182212107,0.44485780423280424,2.9913235806575185
ablate_no_accountability,49,0.9666666666666667,0.9722222222212532,0.23796985435171364,0.5,0.3333333333333333,0.5257545241477558,0.480406746031746,2.9913235806575185
ablate_no_accountability,50,0.8083333333333333,0.9722222222212532,0.2183931347749941,0.46323062558356676,0.3333333333333333,0.5104444510876277,0.5293485449735449,2.9913235806575185
ablate_no_accountability,51,0.8916666666666667,0.9722222222212532,0.22183228821414752,0.47278244631185806,0.3333333333333333,0.5139071425254879,0.5207506613756614,2.9913235806575185
