lambda_rp,lambda_c,accuracy,recall_parity,epsilon_eff,mia_auc,clarity,accountability,trust_index,privacy
0.0,0.0,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4448991402116401,0.49091503267973857,1.0,0.6926042760565823,0.252172896679756
0.0,0.25,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4448164682539682,0.49091503267973857,1.0,0.6926146100590418,0.2522059654628248
0.0,0.5,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4445684523809524,0.49091503267973857,1.0,0.6926456120664203,0.25230517181203116
0.0,0.75,0.9125,0.9642857142847457,2.9913235806575185,0.4446511243386243,0.49093370681605975,1.0,0.6926399465980411,0.25227210302896236
0.0,1.0,0.9166666666666666,0.9444444444435032,2.9913235806575185,0.4440724206349206,0.5,1.0,0.6900185404509319,0.25250358451044386
0.25,0.0,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4448991402116401,0.49091503267973857,1.0,0.6926042760565823,0.252172896679756
0.25,0.25,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4447751322751322,0.49091503267973857,1.0,0.6926197770602716,0.2522224998543592
0.25,0.5,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4445684523809524,0.49091503267973857,1.0,0.6926456120664203,0.25230517181203116
0.25,0.75,0.9125,0.9642857142847457,2.9913235806575185,0.4446511243386243,0.49093370681605975,1.0,0.6926399465980411,0.25227210302896236
0.25,1.0,0.9166666666666666,0.9444444444435032,2.9913235806575185,0.4440724206349206,0.5,1.0,0.6900185404509319,0.25250358451044386
0.5,0.0,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4448578042328042,0.49091503267973857,1.0,0.692609443057812,0.2521894310712904
0.5,0.25,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4447751322751322,0.49091503267973857,1.0,0.6926197770602716,0.2522224998543592
0.5,0.5,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4445684523809524,0.49091503267973857,1.0,0.6926456120664203,0.25230517181203116
0.5,0.75,0.9125,0.9642857142847457,2.9913235806575185,0.4446924603174603,0.49093370681605975,1.0,0.6926347795968113,0.252255568637428
0.5,1.0,0.9166666666666666,0.9444444444435032,2.9913235806575185,0.4440724206349206,0.5,1.0,0.6900185404509319,0.25250358451044386
0.75,0.0,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.44477513227513227,0.49091503267973857,1.0,0.6926197770602716,0.25222249985435913
0.75,0.25,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4446511243386243,0.49091503267973857,1.0,0.6926352780639607,0.25227210302896236
0.75,0.5,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.44460978835978837,0.49091503267973857,1.0,0.6926404450651905,0.25228863742049673
0.75,0.75,0.9125,0.9642857142847457,2.9913235806575185,0.4446511243386243,0.49093370681605975,1.0,0.6926399465980411,0.25227210302896236
0.75,1.0,0.9166666666666666,0.9444444444435032,2.9913235806575185,0.4440724206349206,0.5,1.0,0.6900185404509319,0.25250358451044386
1.0,0.0,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.44460978835978837,0.49091503267973857,1.0,0.6926404450651905,0.25228863742049673
1.0,0.25,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.44469246031746035,0.49091503267973857,1.0,0.692630111062731,0.25225556863742793
1.0,0.5,0.9041666666666667,0.9642857142847457,2.9913235806575185,0.4445684523809524,0.49093370681605975,1.0,0.6926502806005005,0.25230517181203116
1.0,0.75,0.9125,0.9642857142847457,2.9913235806575185,0.44460978835978837,0.49093370681605975,1.0,0.6926451135992708,0.25228863742049673
1.0,1.0,0.9166666666666666,0.9444444444435032,2.9913235806575185,0.4439484126984126,0.5,1.0,0.6900340414546211,0.25255318768504703
